Period,Category,Inflation Rate
February 2020,Food Away from home,0.2227317845865473
March 2020,Food Away from home,0.1501133614695243
April 2020,Food Away from home,0.1457535077321725
May 2020,Food Away from home,0.3681543082655779
June 2020,Food Away from home,0.5176391540884892
July 2020,Food Away from home,0.4706379873064144
August 2020,Food Away from home,0.2844544618277802
September 2020,Food Away from home,0.5561253329813031
October 2020,Food Away from home,0.2736636596203003
November 2020,Food Away from home,0.1208487611323574
December 2020,Food Away from home,0.3741789688620206
February 2021,Food Away from home,0.0525996897284176
March 2021,Food Away from home,0.1187861848672292
April 2021,Food Away from home,0.3064171460666026
May 2021,Food Away from home,0.5506611578462515
June 2021,Food Away from home,0.7094348575363927
July 2021,Food Away from home,0.7816538735873658
August 2021,Food Away from home,0.4262668696818056
September 2021,Food Away from home,0.5366333048852925
October 2021,Food Away from home,0.8347374242755546
November 2021,Food Away from home,0.6023750605882836
December 2021,Food Away from home,0.5994021826988059
February 2022,Food Away from home,0.4410415968898559
March 2022,Food Away from home,0.2521191722762484
April 2022,Food Away from home,0.5813067900985127
May 2022,Food Away from home,0.7395869068701448
June 2022,Food Away from home,0.9452311996858486
July 2022,Food Away from home,0.7017533195758385
August 2022,Food Away from home,0.8661745266220414
September 2022,Food Away from home,0.944610008018874
October 2022,Food Away from home,0.9375490931294675
November 2022,Food Away from home,0.5092032466846104
December 2022,Food Away from home,0.3777763493890735
February 2023,Food Away from home,0.6341179771867979
March 2023,Food Away from home,0.5964889081809499
April 2023,Food Away from home,0.3694876894588866
May 2023,Food Away from home,0.4711918163519141
June 2023,Food Away from home,0.3834034208766446
July 2023,Food Away from home,0.1741732416830212
August 2023,Food Away from home,0.3440774160096047
September 2023,Food Away from home,0.3945709286879667
October 2023,Food Away from home,0.3737188381148493
November 2023,Food Away from home,0.434474840032988
December 2023,Food Away from home,0.3277069118132764
January 2024,Food Away from home,0.3220326892017494
February 2024,Food Away from home,0.3564901494402062
March 2024,Food Away from home,0.3611573457252571
April 2024,Food Away from home,0.3525960224724908
May 2024,Food Away from home,0.3554600443951116
June 2024,Food Away from home,0.3544592272664761
July 2024,Food Away from home,0.3521923843124385
August 2024,Food Away from home,0.3533317258910595
September 2024,Food Away from home,0.35438332394215
October 2024,Food Away from home,0.3538640010285214
November 2024,Food Away from home,0.3536893228393806
December 2024,Food Away from home,0.3538306415848349
January 2025,Food Away from home,0.3537660512382449
February 2025,Food Away from home,0.3537342652901458
March 2025,Food Away from home,0.3537993731263848
April 2025,Food Away from home,0.3538014224424531
May 2025,Food Away from home,0.3537757884225462
June 2025,Food Away from home,0.3537796175917389
July 2025,Food Away from home,0.3537845964180087
August 2025,Food Away from home,0.3537810544029291
September 2025,Food Away from home,0.3537817712678645
October 2025,Food Away from home,0.3537835722559214
November 2025,Food Away from home,0.3537825692146904
December 2025,Food Away from home,0.3537820194423554
January 2026,Food Away from home,0.3537824787749097
February 2026,Food Away from home,0.353782506940711
March 2026,Food Away from home,0.3537823723303212
April 2026,Food Away from home,0.3537824476764429
May 2026,Food Away from home,0.3537824689164153
June 2026,Food Away from home,0.353782419518361
July 2026,Food Away from home,0.35378242455965
August 2026,Food Away from home,0.3537824418080854
September 2026,Food Away from home,0.3537824353564502
October 2026,Food Away from home,0.3537824326892008
November 2026,Food Away from home,0.3537824362229698
December 2026,Food Away from home,0.3537824353022644
January 2027,Food Away from home,0.3537824340100973
February 2027,Food Away from home,0.3537824349005375
March 2027,Food Away from home,0.3537824351529841
April 2027,Food Away from home,0.353782434768055
May 2027,Food Away from home,0.3537824348228938
June 2027,Food Away from home,0.3537824349260701
