Period,Category,Inflation Rate
2027-05-01,Food Away from home,0.3537824348228938
2027-06-01,Food Away from home,0.3537824349260701
2027-07-01,Food Away from home,0.35378243485010963
2027-08-01,Food Away from home,0.3537824348415708
2027-09-01,Food Away from home,0.3537824348794992
2027-10-01,Food Away from home,0.35378243487020977
2027-11-01,Food Away from home,0.3537824348590959
2027-12-01,Food Away from home,0.3537824348661119
2028-01-01,Food Away from home,0.3537824348670082
2028-02-01,Food Away from home,0.35378243486397015
2028-03-01,Food Away from home,0.3537824348650791
2028-04-01,Food Away from home,0.353782434865928
2028-05-01,Food Away from home,0.3537824348651455
2028-06-01,Food Away from home,0.3537824348650844
2028-07-01,Food Away from home,0.353782434865387
2028-08-01,Food Away from home,0.3537824348652907
2028-09-01,Food Away from home,0.35378243486522276
2028-10-01,Food Away from home,0.3537824348652928
2028-11-01,Food Away from home,0.3537824348652903
2028-12-01,Food Away from home,0.353782434865262
2029-01-01,Food Away from home,0.35378243486527333
2029-02-01,Food Away from home,0.3537824348652798
2029-03-01,Food Away from home,0.3537824348652733
2029-04-01,Food Away from home,0.3537824348652736
2029-05-01,Food Away from home,0.353782434865276
2029-06-01,Food Away from home,0.35378243486527483
2029-07-01,Food Away from home,0.35378243486527433
2029-08-01,Food Away from home,0.353782434865275
2029-09-01,Food Away from home,0.35378243486527494
2029-10-01,Food Away from home,0.3537824348652747
2029-11-01,Food Away from home,0.35378243486527483
2029-12-01,Food Away from home,0.3537824348652749
2030-01-01,Food Away from home,0.35378243486527483
2030-02-01,Food Away from home,0.35378243486527483
2030-03-01,Food Away from home,0.35378243486527483
2030-04-01,Food Away from home,0.35378243486527483
2030-05-01,Food Away from home,0.35378243486527483
2030-06-01,Food Away from home,0.35378243486527483
2030-07-01,Food Away from home,0.35378243486527483
2030-08-01,Food Away from home,0.35378243486527483
2030-09-01,Food Away from home,0.35378243486527483
2030-10-01,Food Away from home,0.35378243486527483
2030-11-01,Food Away from home,0.35378243486527483
2030-12-01,Food Away from home,0.35378243486527483
2024-01-01,Food and Beverage,0.05699167035260898
2024-02-01,Food and Beverage,0.07392953703561993
2024-03-01,Food and Beverage,0.11030868854585944
