Period,Category,Inflation Rate
2027-08-01,Food Away from home,0.6600965565524588
2027-09-01,Food Away from home,0.6633926862918718
2027-10-01,Food Away from home,0.6666888160312845
2027-11-01,Food Away from home,0.6699849457706972
2027-12-01,Food Away from home,0.67328107551011
2028-01-01,Food Away from home,0.6765772052495229
2028-02-01,Food Away from home,0.6798733349889357
2028-03-01,Food Away from home,0.6831694647283484
2028-04-01,Food Away from home,0.6864655944677611
2028-05-01,Food Away from home,0.6897617242071741
2028-06-01,Food Away from home,0.6930578539465868
2028-07-01,Food Away from home,0.6963539836859995
2028-08-01,Food Away from home,0.6996501134254125
2028-09-01,Food Away from home,0.7029462431648252
2028-10-01,Food Away from home,0.706242372904238
2028-11-01,Food Away from home,0.7095385026436507
2028-12-01,Food Away from home,0.7128346323830637
2029-01-01,Food Away from home,0.7161307621224764
2029-02-01,Food Away from home,0.7194268918618891
2029-03-01,Food Away from home,0.7227230216013019
2029-04-01,Food Away from home,0.7260191513407148
2029-05-01,Food Away from home,0.7293152810801276
2029-06-01,Food Away from home,0.7326114108195403
2029-07-01,Food Away from home,0.7359075405589532
2029-08-01,Food Away from home,0.739203670298366
2029-09-01,Food Away from home,0.7424998000377787
2029-10-01,Food Away from home,0.7457959297771914
2029-11-01,Food Away from home,0.7490920595166044
2029-12-01,Food Away from home,0.7523881892560171
2030-01-01,Food Away from home,0.7556843189954299
2030-02-01,Food Away from home,0.7589804487348426
2030-03-01,Food Away from home,0.7622765784742556
2030-04-01,Food Away from home,0.7655727082136683
2030-05-01,Food Away from home,0.768868837953081
2030-06-01,Food Away from home,0.772164967692494
2030-07-01,Food Away from home,0.7754610974319067
2030-08-01,Food Away from home,0.7787572271713195
2030-09-01,Food Away from home,0.7820533569107322
2030-10-01,Food Away from home,0.7853494866501451
2030-11-01,Food Away from home,0.7886456163895579
2030-12-01,Food Away from home,0.7919417461289706
2023-12-01,Food and Beverage,0.459871082100725
2024-01-01,Food and Beverage,0.4636546949941319
2024-02-01,Food and Beverage,0.4674383078875388
2024-03-01,Food and Beverage,0.4712219207809458
2024-04-01,Food and Beverage,0.4750055336743527
